2026-09-25 04:54:49 - Step 1 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.154 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 88 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.020 | Proposed -0.043 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 93 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.032 | Proposed -0.467 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 95 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.450 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 95 | Zone 1 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.152 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 97 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.088 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 98 | Zone 2 | REJECTED [DEMAND_SPIKE] | SOC 0.431 | Proposed 0.232 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:50 - Step 101 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.444 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 101 | Zone 1 | REJECTED [SOC_HIGH] | SOC 0.952 | Proposed 0.354 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 106 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.241 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 107 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.045 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 108 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed -0.095 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 110 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.268 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 111 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.029 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 111 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.965 | Proposed 0.231 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 113 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.002 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 113 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.427 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 115 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.239 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 118 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.312 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 120 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.036 | Proposed 0.080 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 122 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.089 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 123 | Zone 2 | REJECTED [SOC_HIGH] | SOC 0.975 | Proposed 0.259 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 124 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 126 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.266 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 129 | Zone 0 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.197 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 130 | Zone 1 | REJECTED [SOC_HIGH] | SOC 0.953 | Proposed 0.488 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 132 | Zone 0 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.387 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 134 | Zone 0 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.463 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 138 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.258 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 140 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.333 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 140 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.364 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 141 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.044 | Proposed -0.191 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 142 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.148 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 143 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.196 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 143 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.157 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 143 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.978 | Proposed 0.007 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 143 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.218 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 145 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.073 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 145 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.069 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 146 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.067 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 146 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.048 | Proposed -0.327 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 146 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.976 | Proposed 0.219 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 147 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.071 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 148 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.351 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 149 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.002 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 151 | Zone 1 | REJECTED [SOC_HIGH] | SOC 0.985 | Proposed 0.194 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 151 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.282 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 152 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.976 | Proposed 0.398 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 154 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.043 | Proposed -0.249 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 155 | Zone 0 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed -0.014 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 161 | Zone 1 | REJECTED [SOC_HIGH] | SOC 0.955 | Proposed 0.310 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 161 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.042 | Proposed -0.240 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 164 | Zone 0 | REJECTED [DEMAND_SPIKE] | SOC 0.460 | Proposed 0.487 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:51 - Step 170 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.016 | Proposed -0.288 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 174 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.097 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 176 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.049 | Proposed 0.015 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 176 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.023 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 179 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.463 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 183 | Zone 2 | REJECTED [SOC_HIGH] | SOC 0.951 | Proposed 0.292 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 185 | Zone 2 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.355 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 186 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.019 | Proposed -0.163 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 190 | Zone 0 | REJECTED [DEMAND_SPIKE] | SOC 0.133 | Proposed 0.474 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:51 - Step 190 | Zone 2 | REJECTED [DEMAND_SPIKE] | SOC 0.852 | Proposed 0.318 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:51 - Step 191 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.408 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 192 | Zone 2 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.494 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 193 | Zone 4 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.262 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 195 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.497 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 195 | Zone 4 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.225 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 197 | Zone 0 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.405 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 197 | Zone 2 | REJECTED [SOC_HIGH] | SOC 0.981 | Proposed 0.015 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 197 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.127 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 197 | Zone 4 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.391 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 203 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.067 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 205 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.100 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 207 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.286 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:51 - Step 207 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.995 | Proposed 0.398 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:51 - Step 209 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.014 | Proposed -0.288 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
